Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
123,Timor-Leste,TLS,#REF!,28,3,5.17,22,38,20,36,23,38,,,,,,,,22,,
130,Cameroon,CMR,#REF!,27,8,3.26,14,45,22,32,23,30,28,45,,,14,31,21,22,,
130,Iran,IRN,#REF!,27,6,3.28,21,41,22,32,,41,23,,,,31,21,21,22,,
130,Nepal,NPL,#REF!,27,5,2.73,22,35,23,31,35,33,23,,,,24,,,22,,
130,Nicaragua,NIC,#REF!,27,7,2.50,19,35,23,31,35,33,28,,,,19,21,21,32,,
130,Paraguay,PRY,#REF!,27,5,2.85,21,36,22,32,,25,36,,,,,31,21,22,,
130,Ukraine,UKR,#REF!,27,8,1.93,21,36,24,30,,28,36,,26,,22,21,21,32,,29
136,Comoros,COM,#REF!,26,3,8.76,12,42,12,40,23,,,12,,,,,,42,,
136,Nigeria,NGA,#REF!,26,8,2.24,19,35,22,30,35,25,28,35,,,19,21,21,22,,
136,Tajikistan,TJK,#REF!,26,5,7.36,11,53,14,38,23,53,15,,,,,,,11,,26
139,Bangladesh,BGD,#REF!,25,7,4.30,16,50,18,32,23,19,23,,,,16,50,21,22,,
139,Guinea,GIN,#REF!,25,6,3.16,15,36,20,30,23,15,36,32,,,,21,,22,,
139,Kenya,KEN,#REF!,25,8,3.02,11,35,20,30,35,30,28,35,,,18,21,21,11,,
139,Laos,LAO,#REF!,25,4,5.31,15,40,16,34,23,40,15,,,,,,,22,,
139,Papua New Guinea,PNG,#REF!,25,5,4.22,11,35,18,32,35,,28,,,,,31,21,11,,
139,Uganda,UGA,#REF!,25,8,3.19,12,38,20,30,12,28,32,32,,,15,21,38,22,,
145,Central African Republic,CAF,#REF!,24,4,1.44,22,28,22,26,23,,28,22,,,,,,22,,
146,Congo Republic,COG,#REF!,23,6,4.11,12,42,16,30,12,,19,42,,,,21,21,22,,
147,Chad,TCD,#REF!,22,5,2.35,16,30,18,26,23,16,19,30,,,,,,22,,
147,Democratic Republic of the Congo,COD,#REF!,22,6,3.35,12,37,17,27,12,,19,37,,,,21,21,22,,
147,Myanmar,MMR,#REF!,22,7,2.82,11,35,17,27,35,27,19,,,,19,21,21,11,,
150,Burundi,BDI,#REF!,21,5,2.94,11,28,16,26,23,28,19,25,,,,,,11,,
150,Cambodia,KHM,#REF!,21,7,3.87,10,35,15,27,12,35,15,,,,10,,21,22,35,
150,Zimbabwe,ZWE,#REF!,21,8,4.54,0,38,14,28,0,38,15,17,,,23,12,38,22,,
153,Uzbekistan,UZB,#REF!,19,6,2.71,11,29,15,23,12,,19,,,,29,,21,11,,21
154,Eritrea,ERI,#REF!,18,4,8.15,7,42,5,31,12,,10,7,,,,,,42,,
154,Syria,SYR,#REF!,18,4,5.66,6,32,9,27,,,6,,,,,12,21,32,,
154,Turkmenistan,TKM,#REF!,18,4,2.38,11,21,14,22,,,19,,,,,,21,11,,21
154,Yemen,YEM,#REF!,18,6,2.66,12,28,14,22,12,14,28,,,,,12,21,22,,
158,Guinea-Bissau,GNB,#REF!,17,4,2.63,12,22,13,21,12,,,20,,,,12,,22,,
158,Haiti,HTI,#REF!,17,5,2.74,11,24,13,21,23,24,15,,,,,12,,11,,
158,Venezuela,VEN,#REF!,17,7,2.64,5,25,13,21,,21,15,,25,,5,12,21,22,,
161,Iraq,IRQ,#REF!,16,4,2.50,11,21,12,20,,,19,,,,,12,21,11,,
161,Libya,LBY,#REF!,16,5,3.18,10,26,11,21,,26,10,,,,,12,21,11,,
163,Angola,AGO,#REF!,15,5,1.80,11,21,12,18,,17,15,,,,,12,21,11,,
163,South Sudan,SSD,SSA,15,3,1.45,12,17,13,17,12,,15,17,,,,,,,,
165,Sudan,SDN,#REF!,12,6,3.64,0,21,6,18,0,,15,20,,,,2,21,11,,
166,Afghanistan,AFG,#REF!,11,4,3.49,2,19,5,17,12,,19,,,,2,,,11,,
167,Korea (North),PRK,#REF!,8,3,3.38,1,12,2,14,,,10,,,,,12,,1,,
167,Somalia,SOM,#REF!,8,4,2.32,2,12,4,12,,,6,2,,,,12,,11,,
